MRI Path | Mode | Threshold,mode,threshold,Jaccard Index,Dice,Precision,Recall,Mean of Mean,Std of Mean,Mean of Std,Std of Std,Mean of Pval,Std of Pval
"92.nii.gz | mode: stat, threshold: 0.05",stat,0.05,1.5585227804001287e-05,3.116996721950624e-05,0.0015479878056794405,1.574348789290525e-05,0.4851350784301758,0.009977604262530804,0.07798996567726135,0.024682754650712013,-0.799436092376709,0.3286018371582031
"99.nii.gz | mode: stat, threshold: 0.05",stat,0.05,7.818547157506052e-12,7.818547157506052e-12,9.049773708191822e-10,7.88668436113582e-12,0.48532843589782715,0.0108255036175251,0.0807613953948021,0.026047784835100174,-0.7861730456352234,0.39746904373168945
"93.nii.gz | mode: stat, threshold: 0.05",stat,0.05,3.502749658469639e-12,3.502749658469639e-12,1.0,3.502749739564548e-12,0.4850767254829407,0.007673087064176798,0.06355482339859009,0.013064495287835598,-0.9515443444252014,0.3485443890094757
"64.nii.gz | mode: stat, threshold: 0.05",stat,0.05,8.314249369122081e-06,1.6628356328889566e-05,0.0006666670087724924,8.419177902396768e-06,0.48515772819519043,0.010532964020967484,0.07470954209566116,0.021516012027859688,-0.8538349270820618,0.42084404826164246
"94.nii.gz | mode: stat, threshold: 0.05",stat,0.05,0.00020075170519421014,0.0004014228224796757,0.04067140072584152,0.00020170681818854064,0.4851497411727905,0.012310005724430084,0.07774429023265839,0.023207571357488632,-0.8287570476531982,0.5021221041679382
"63.nii.gz | mode: stat, threshold: 0.05",stat,0.05,3.1056286413399368e-12,3.1056286413399368e-12,6.317119605192545e-10,3.1209720138120067e-12,0.4851737320423126,0.009086665697395802,0.07011528313159943,0.026357052847743034,-0.8847073912620544,0.29783904552459717
"65.nii.gz | mode: stat, threshold: 0.05",stat,0.05,2.008121242295812e-05,4.016161433592712e-05,0.0007230659248307347,2.06544191314606e-05,0.4852296710014343,0.011678609997034073,0.08000775426626205,0.02751508355140686,-0.805014967918396,0.41482219099998474
"96.nii.gz | mode: stat, threshold: 0.05",stat,0.05,0.0008516820770980101,0.001701914658982846,0.030669312924146652,0.000875241996254772,0.4852116107940674,0.01051666121929884,0.07467573881149292,0.028542526066303253,-0.8870168924331665,0.40583348274230957
"72.nii.gz | mode: stat, threshold: 0.05",stat,0.05,0.003475420029321344,0.006926766631389785,0.10383874922990799,0.0035828850232064724,0.48507776856422424,0.011900610290467739,0.07045799493789673,0.02447093091905117,-0.878342866897583,0.47528135776519775
"73.nii.gz | mode: stat, threshold: 0.05",stat,0.05,4.402261001230862e-12,4.402261001230862e-12,1.0,4.40226110773323e-12,0.48531681299209595,0.003138704923912883,0.07593207061290741,0.023684673011302948,-0.8213810920715332,0.20658954977989197
